image_id,true_code,pred_code,correct,confidence,focus,border_mass_fraction,interior_mass_fraction,peak_offset_from_centre,mean_activation,activation_above_half,is_degenerate
ISIC_0027795,akiec,akiec,True,0.9583555459976196,concentrated on an off-centre region of the image,0.08230156210828755,0.9176984429359436,0.6666666666666667,0.09215255826711655,0.061224489795918366,False
ISIC_0031286,akiec,akiec,True,0.8658878207206726,concentrated on an off-centre region of the image,0.16986342946887684,0.8301365971565247,0.5270462766947299,0.11683584749698639,0.10204081632653061,False
ISIC_0032173,akiec,akiec,True,0.9641247987747192,concentrated on an off-centre region of the image,0.2742538551898819,0.7257461547851562,0.5270462766947299,0.10701582580804825,0.061224489795918366,False
ISIC_0026848,akiec,akiec,True,0.9724608659744263,concentrated on an off-centre region of the image,0.41869628090446304,0.5813037157058716,0.33333333333333337,0.15297457575798035,0.16326530612244897,False
ISIC_0027609,bcc,df,False,0.30388179421424866,concentrated on an off-centre region of the image,0.3960657614523036,0.6039342284202576,0.6666666666666667,0.11859283596277237,0.08163265306122448,False
ISIC_0024345,bcc,akiec,False,0.5911082625389099,concentrated on an off-centre region of the image,0.46385897829679645,0.536141037940979,0.33333333333333337,0.15185557305812836,0.10204081632653061,False
ISIC_0030145,bcc,bcc,True,0.909972608089447,concentrated on an off-centre region of the image,0.005369036718238437,0.9946309924125671,0.5270462766947299,0.07214559614658356,0.04081632653061224,False
ISIC_0024949,bcc,bcc,True,0.9409528970718384,concentrated on an off-centre region of the image,0.19826927888433213,0.8017306923866272,0.47140452079103173,0.05814741924405098,0.061224489795918366,False
ISIC_0030365,bkl,mel,False,0.777596652507782,concentrated on an off-centre region of the image,0.03529850609912706,0.9647014737129211,0.33333333333333337,0.11290962994098663,0.10204081632653061,False
ISIC_0031125,bkl,bkl,True,0.796513020992279,concentrated on an off-centre region of the image,0.00994508530144893,0.9900549054145813,0.47140452079103173,0.14716309309005737,0.16326530612244897,False
ISIC_0029032,bkl,mel,False,0.773331880569458,concentrated on an off-centre region of the image,0.0,1.0,0.33333333333333337,0.06360603123903275,0.04081632653061224,False
ISIC_0027470,bkl,nv,False,0.7613981366157532,concentrated on an off-centre region of the image,0.04620972304769416,0.9537902474403381,0.33333333333333337,0.12407772243022919,0.10204081632653061,False
ISIC_0024994,df,df,True,0.9835417866706848,concentrated on the central region of the image,0.104071230888876,0.8959287405014038,0.23570226039551587,0.1263698935508728,0.10204081632653061,False
ISIC_0033422,df,df,True,0.9908815622329712,concentrated on the central region of the image,0.03940492902823273,0.9605950713157654,0.23570226039551587,0.11080076545476913,0.061224489795918366,False
ISIC_0031735,df,akiec,False,0.8524731993675232,concentrated on an off-centre region of the image,0.10887818876932796,0.8911218047142029,0.33333333333333337,0.09235705435276031,0.08163265306122448,False
ISIC_0025223,df,akiec,False,0.758833110332489,concentrated on the central region of the image,0.10536476797643445,0.8946352601051331,0.23570226039551587,0.14379869401454926,0.061224489795918366,False
ISIC_0032699,mel,bkl,False,0.6343162655830383,concentrated on an off-centre region of the image,0.24758354340960434,0.7524164319038391,0.47140452079103173,0.09516295790672302,0.061224489795918366,False
ISIC_0032913,mel,mel,True,0.7822905778884888,concentrated on an off-centre region of the image,0.055738142832980855,0.9442618489265442,0.47140452079103173,0.12393350154161453,0.08163265306122448,False
ISIC_0031499,mel,mel,True,0.4679367244243622,concentrated on an off-centre region of the image,0.05515513153726984,0.9448448419570923,0.47140452079103173,0.15776073932647705,0.14285714285714285,False
ISIC_0029502,mel,df,False,0.5085880756378174,spread toward the edges of the image rather than a central region,0.818422700069527,0.18157729506492615,0.74535599249993,0.08249553292989731,0.061224489795918366,False
ISIC_0033409,nv,nv,True,0.7961583137512207,concentrated on the central region of the image,0.0584772072615825,0.9415227770805359,0.23570226039551587,0.0888545885682106,0.08163265306122448,False
ISIC_0030481,nv,nv,True,0.7947337627410889,concentrated on an off-centre region of the image,0.4007868816884422,0.5992131233215332,0.8498365855987975,0.16323211789131165,0.12244897959183673,False
ISIC_0030919,nv,nv,True,0.5173931121826172,concentrated on an off-centre region of the image,0.12682772068799628,0.8731722831726074,0.33333333333333337,0.07965848594903946,0.061224489795918366,False
ISIC_0029398,nv,nv,True,0.8046876192092896,concentrated on an off-centre region of the image,0.17556714579039043,0.8244328498840332,0.47140452079103173,0.14622601866722107,0.061224489795918366,False
ISIC_0024669,vasc,vasc,True,0.9841521978378296,concentrated on the central region of the image,0.11015873604835068,0.8898412585258484,0.0,0.06923888623714447,0.04081632653061224,False
ISIC_0033031,vasc,vasc,True,0.8500808477401733,concentrated on the central region of the image,0.10217088827912106,0.8978291153907776,0.23570226039551587,0.17293325066566467,0.16326530612244897,False
ISIC_0031719,vasc,vasc,True,0.33550599217414856,concentrated on an off-centre region of the image,0.18109805348036523,0.8189019560813904,0.47140452079103173,0.06757797300815582,0.04081632653061224,False
ISIC_0025244,vasc,vasc,True,0.9877289533615112,spread toward the edges of the image rather than a central region,0.5834901671094679,0.41650983691215515,0.8498365855987975,0.08492949604988098,0.061224489795918366,False
